PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,PRVDR_NUM,PGM_TRMNTN_CD,ZIP_CD
01,16,011522,00,36303
01,16,011523,00,36117
01,16,011524,00,36854
01,16,011525,01,35234
01,16,011526,00,35128
01,16,011527,00,35209
01,16,011528,00,36830
01,16,011529,04,35462
01,16,011530,00,35630
01,16,011531,01,36608
01,16,011532,01,35805
01,16,011533,01,36608
01,16,011534,00,35594
01,16,011535,01,35010
01,16,011536,01,35022
01,16,011537,01,35226
01,16,011538,00,36251
01,16,011539,01,35121
01,16,011540,01,35555
01,16,011541,01,35045
01,16,011542,01,35960
01,16,011543,00,35209
01,16,011545,01,36606
01,16,011546,00,36535
01,16,011547,01,36420
01,16,011548,00,35406
01,16,011549,00,36701
01,16,011550,04,36116
01,16,011551,04,36467
01,16,011552,04,36081
01,16,011553,00,36117
01,16,011554,00,35901
01,16,011555,04,36868
01,16,011556,01,35209
01,16,011557,04,35630
01,16,011558,00,36606
01,16,011559,04,36701
01,16,011560,01,36117
01,16,011561,00,36066
01,16,011562,00,36545
01,16,011563,04,36420
01,16,011564,04,36360
01,16,011565,01,36426
01,16,011566,00,35601
01,16,011567,00,36460
01,16,011568,04,35007
01,16,011569,00,36451
01,16,011570,01,35209
01,16,011571,01,35215
01,16,011572,01,36331
01,16,011573,04,35802
01,16,011574,01,36330
01,16,011575,04,36027
01,16,011576,00,36732
01,16,011577,00,36303
01,16,011578,00,36732
01,16,011579,00,35907
01,16,011580,01,35057
01,16,011581,01,35010
01,16,011582,00,36037
01,16,011583,00,36078
01,16,011584,04,35470
01,16,011585,05,35630
01,16,011586,00,35570
01,16,011587,01,35594
01,16,011588,01,36420
01,16,011589,04,35010
01,16,011590,01,36109
01,16,011591,00,35235
01,16,011592,00,35630
01,16,011593,01,36526
01,16,011594,01,36451
01,16,011595,04,35630
01,16,011596,01,35553
01,16,011597,00,36420
01,16,011598,00,36545
01,16,011599,01,36340
01,16,011600,00,35124
01,16,011601,04,35216
01,16,011602,00,36867
01,16,011603,00,36331
01,16,011604,00,36908
01,16,011605,00,36606
01,16,011606,01,35150
01,16,011607,00,35124
01,16,011608,00,35150
01,16,011609,01,36401
01,16,011610,01,35211
01,16,011611,01,35805
01,16,011612,00,36867
01,16,011613,04,35802
01,16,011614,01,36693
01,16,011615,01,36616
01,16,011616,01,35244
01,16,011617,00,35160
01,16,011618,04,36532
01,16,011619,00,36110
